symbol,split,observations,mrs_threshold,ree_threshold,wds_freeze,wds_unfreeze,eligible_minutes,eligible_rate,freeze_minutes,freeze_rate,unfreeze_minutes,unfreeze_rate
USDJPY,validation,9033,65,55,70,40,55,0.00609,36,0.00399,5176,0.57301
USDJPY,validation,9033,65,55,75,45,55,0.00609,5,0.00055,6582,0.72866
USDJPY,validation,9033,65,55,80,50,55,0.00609,0,0.0,7751,0.85808
USDJPY,validation,9033,65,60,65,35,49,0.00542,106,0.01173,3709,0.41061
USDJPY,validation,9033,65,60,70,40,49,0.00542,36,0.00399,5176,0.57301
USDJPY,validation,9033,65,60,75,45,49,0.00542,5,0.00055,6582,0.72866
USDJPY,validation,9033,65,60,80,50,49,0.00542,0,0.0,7751,0.85808
XAUUSD,training,20165,50,50,65,35,1000,0.04959,66,0.00327,8355,0.41433
XAUUSD,training,20165,50,50,70,40,1000,0.04959,20,0.00099,12001,0.59514
XAUUSD,training,20165,50,50,75,45,1000,0.04959,4,0.0002,15310,0.75924
XAUUSD,training,20165,50,50,80,50,1000,0.04959,1,5e-05,18027,0.89397
XAUUSD,training,20165,50,55,65,35,976,0.0484,66,0.00327,8355,0.41433
XAUUSD,training,20165,50,55,70,40,976,0.0484,20,0.00099,12001,0.59514
XAUUSD,training,20165,50,55,75,45,976,0.0484,4,0.0002,15310,0.75924
XAUUSD,training,20165,50,55,80,50,976,0.0484,1,5e-05,18027,0.89397
XAUUSD,training,20165,50,60,65,35,940,0.04662,66,0.00327,8355,0.41433
XAUUSD,training,20165,50,60,70,40,940,0.04662,20,0.00099,12001,0.59514
XAUUSD,training,20165,50,60,75,45,940,0.04662,4,0.0002,15310,0.75924
XAUUSD,training,20165,50,60,80,50,940,0.04662,1,5e-05,18027,0.89397
XAUUSD,training,20165,55,50,65,35,509,0.02524,66,0.00327,8355,0.41433
XAUUSD,training,20165,55,50,70,40,509,0.02524,20,0.00099,12001,0.59514
XAUUSD,training,20165,55,50,75,45,509,0.02524,4,0.0002,15310,0.75924
XAUUSD,training,20165,55,50,80,50,509,0.02524,1,5e-05,18027,0.89397
XAUUSD,training,20165,55,55,65,35,490,0.0243,66,0.00327,8355,0.41433
XAUUSD,training,20165,55,55,70,40,490,0.0243,20,0.00099,12001,0.59514
XAUUSD,training,20165,55,55,75,45,490,0.0243,4,0.0002,15310,0.75924
XAUUSD,training,20165,55,55,80,50,490,0.0243,1,5e-05,18027,0.89397
XAUUSD,training,20165,55,60,65,35,475,0.02356,66,0.00327,8355,0.41433
XAUUSD,training,20165,55,60,70,40,475,0.02356,20,0.00099,12001,0.59514
XAUUSD,training,20165,55,60,75,45,475,0.02356,4,0.0002,15310,0.75924
XAUUSD,training,20165,55,60,80,50,475,0.02356,1,5e-05,18027,0.89397
XAUUSD,training,20165,60,50,65,35,243,0.01205,66,0.00327,8355,0.41433
XAUUSD,training,20165,60,50,70,40,243,0.01205,20,0.00099,12001,0.59514
XAUUSD,training,20165,60,50,75,45,243,0.01205,4,0.0002,15310,0.75924
XAUUSD,training,20165,60,50,80,50,243,0.01205,1,5e-05,18027,0.89397
XAUUSD,training,20165,60,55,65,35,232,0.01151,66,0.00327,8355,0.41433
XAUUSD,training,20165,60,55,70,40,232,0.01151,20,0.00099,12001,0.59514
XAUUSD,training,20165,60,55,75,45,232,0.01151,4,0.0002,15310,0.75924
XAUUSD,training,20165,60,55,80,50,232,0.01151,1,5e-05,18027,0.89397
XAUUSD,training,20165,60,60,65,35,225,0.01116,66,0.00327,8355,0.41433
XAUUSD,training,20165,60,60,70,40,225,0.01116,20,0.00099,12001,0.59514
XAUUSD,training,20165,60,60,75,45,225,0.01116,4,0.0002,15310,0.75924
XAUUSD,training,20165,60,60,80,50,225,0.01116,1,5e-05,18027,0.89397
XAUUSD,training,20165,65,50,65,35,109,0.00541,66,0.00327,8355,0.41433
XAUUSD,training,20165,65,50,70,40,109,0.00541,20,0.00099,12001,0.59514
XAUUSD,training,20165,65,50,75,45,109,0.00541,4,0.0002,15310,0.75924
XAUUSD,training,20165,65,50,80,50,109,0.00541,1,5e-05,18027,0.89397
XAUUSD,training,20165,65,55,65,35,102,0.00506,66,0.00327,8355,0.41433
XAUUSD,training,20165,65,55,70,40,102,0.00506,20,0.00099,12001,0.59514
XAUUSD,training,20165,65,55,75,45,102,0.00506,4,0.0002,15310,0.75924
XAUUSD,training,20165,65,55,80,50,102,0.00506,1,5e-05,18027,0.89397
XAUUSD,training,20165,65,60,65,35,97,0.00481,66,0.00327,8355,0.41433
XAUUSD,training,20165,65,60,70,40,97,0.00481,20,0.00099,12001,0.59514
XAUUSD,training,20165,65,60,75,45,97,0.00481,4,0.0002,15310,0.75924
XAUUSD,training,20165,65,60,80,50,97,0.00481,1,5e-05,18027,0.89397
XAUUSD,validation,8643,50,50,65,35,416,0.04813,44,0.00509,3480,0.40264
XAUUSD,validation,8643,50,50,70,40,416,0.04813,22,0.00255,5080,0.58776
XAUUSD,validation,8643,50,50,75,45,416,0.04813,9,0.00104,6522,0.7546
XAUUSD,validation,8643,50,50,80,50,416,0.04813,3,0.00035,7646,0.88465
XAUUSD,validation,8643,50,55,65,35,401,0.0464,44,0.00509,3480,0.40264
XAUUSD,validation,8643,50,55,70,40,401,0.0464,22,0.00255,5080,0.58776
XAUUSD,validation,8643,50,55,75,45,401,0.0464,9,0.00104,6522,0.7546
XAUUSD,validation,8643,50,55,80,50,401,0.0464,3,0.00035,7646,0.88465
XAUUSD,validation,8643,50,60,65,35,371,0.04292,44,0.00509,3480,0.40264
XAUUSD,validation,8643,50,60,70,40,371,0.04292,22,0.00255,5080,0.58776
XAUUSD,validation,8643,50,60,75,45,371,0.04292,9,0.00104,6522,0.7546
XAUUSD,validation,8643,50,60,80,50,371,0.04292,3,0.00035,7646,0.88465
XAUUSD,validation,8643,55,50,65,35,212,0.02453,44,0.00509,3480,0.40264
XAUUSD,validation,8643,55,50,70,40,212,0.02453,22,0.00255,5080,0.58776
XAUUSD,validation,8643,55,50,75,45,212,0.02453,9,0.00104,6522,0.7546
XAUUSD,validation,8643,55,50,80,50,212,0.02453,3,0.00035,7646,0.88465
XAUUSD,validation,8643,55,55,65,35,207,0.02395,44,0.00509,3480,0.40264
XAUUSD,validation,8643,55,55,70,40,207,0.02395,22,0.00255,5080,0.58776
XAUUSD,validation,8643,55,55,75,45,207,0.02395,9,0.00104,6522,0.7546
XAUUSD,validation,8643,55,55,80,50,207,0.02395,3,0.00035,7646,0.88465
XAUUSD,validation,8643,55,60,65,35,193,0.02233,44,0.00509,3480,0.40264
XAUUSD,validation,8643,55,60,70,40,193,0.02233,22,0.00255,5080,0.58776
XAUUSD,validation,8643,55,60,75,45,193,0.02233,9,0.00104,6522,0.7546
