symbol,scenario,start,end,duration_minutes,mean_mrs,mean_wds,mean_ree_proxy
XAUUSD,TIGHT_RANGE,2026-01-06 12:10:00,2026-01-06 12:10:00,1,24.15,31.09,50.8
XAUUSD,TRANSITION,2026-01-06 12:11:00,2026-01-06 12:20:00,10,22.63,39.08,47.43
XAUUSD,TIGHT_RANGE,2026-01-06 12:21:00,2026-01-06 12:33:00,13,20.22,44.12,45.12
XAUUSD,TRANSITION,2026-01-06 12:34:00,2026-01-06 12:34:00,1,22.84,46.54,46.08
XAUUSD,TIGHT_RANGE,2026-01-06 12:35:00,2026-01-06 12:35:00,1,20.66,48.02,44.59
XAUUSD,TRANSITION,2026-01-06 12:36:00,2026-01-06 15:57:00,202,29.61,37.74,52.24
XAUUSD,STRONG_TREND_UP,2026-01-06 15:58:00,2026-01-06 15:58:00,1,66.34,18.52,74.43
XAUUSD,TRANSITION,2026-01-06 15:59:00,2026-01-06 16:24:00,26,27.7,36.42,50.65
XAUUSD,TIGHT_RANGE,2026-01-06 16:25:00,2026-01-06 16:29:00,5,17.84,38.86,46.24
XAUUSD,LOW_LIQUIDITY,2026-01-06 16:30:00,2026-01-06 16:40:00,11,41.87,26.65,61.25
XAUUSD,TRANSITION,2026-01-06 16:41:00,2026-01-06 16:41:00,1,43.31,27.18,61.51
XAUUSD,LOW_LIQUIDITY,2026-01-06 16:42:00,2026-01-06 16:50:00,9,34.98,31.76,55.69
XAUUSD,TRANSITION,2026-01-06 16:51:00,2026-01-06 18:17:00,27,22.52,44.23,41.76
XAUUSD,WIDE_RANGE,2026-01-06 18:18:00,2026-01-06 18:18:00,1,29.04,49.01,37.8
XAUUSD,TRANSITION,2026-01-06 18:19:00,2026-01-06 18:58:00,40,29.1,36.25,51.11
XAUUSD,WIDE_RANGE,2026-01-06 18:59:00,2026-01-06 19:00:00,2,29.18,35.23,53.05
XAUUSD,TRANSITION,2026-01-06 19:01:00,2026-01-06 19:03:00,3,33.3,34.69,55.31
XAUUSD,WIDE_RANGE,2026-01-06 19:04:00,2026-01-06 19:04:00,1,30.22,41.44,51.65
XAUUSD,TRANSITION,2026-01-06 19:05:00,2026-01-06 19:06:00,2,34.8,33.74,56.62
XAUUSD,WIDE_RANGE,2026-01-06 19:07:00,2026-01-06 19:15:00,9,29.4,44.88,50.47
XAUUSD,TRANSITION,2026-01-06 19:16:00,2026-01-06 19:17:00,2,32.27,30.25,56.89
XAUUSD,WIDE_RANGE,2026-01-06 19:18:00,2026-01-06 19:18:00,1,26.95,31.77,53.88
XAUUSD,TRANSITION,2026-01-06 19:19:00,2026-01-06 19:48:00,30,25.36,40.89,49.91
XAUUSD,WIDE_RANGE,2026-01-06 19:49:00,2026-01-06 19:50:00,2,29.68,39.6,52.96
XAUUSD,TRANSITION,2026-01-06 19:51:00,2026-01-06 19:59:00,9,37.5,31.42,59.26
XAUUSD,WIDE_RANGE,2026-01-06 20:00:00,2026-01-06 20:00:00,1,28.98,52.97,47.63
XAUUSD,TRANSITION,2026-01-06 20:01:00,2026-01-06 20:11:00,11,42.17,36.81,57.87
XAUUSD,WIDE_RANGE,2026-01-06 20:12:00,2026-01-06 20:12:00,1,38.06,54.76,48.88
XAUUSD,TRANSITION,2026-01-06 20:13:00,2026-01-06 20:20:00,8,43.62,47.18,53.46
XAUUSD,WIDE_RANGE,2026-01-06 20:21:00,2026-01-06 20:34:00,14,30.31,59.44,42.45
XAUUSD,TRANSITION,2026-01-06 20:35:00,2026-01-06 20:36:00,2,32.69,45.52,48.25
XAUUSD,WIDE_RANGE,2026-01-06 20:37:00,2026-01-06 20:37:00,1,29.69,51.71,44.62
